m,TagName,
"2008-07-01 00:00:00","c#","3"
"2008-08-01 00:00:00","assembly","8"
"2008-08-01 00:00:00","c","83"
"2008-08-01 00:00:00","c#","505"
"2008-08-01 00:00:00","c++","164"
"2008-08-01 00:00:00","delphi","14"
"2008-08-01 00:00:00","java","222"
"2008-08-01 00:00:00","javascript","163"
"2008-08-01 00:00:00","perl","28"
"2008-08-01 00:00:00","php","158"
"2008-08-01 00:00:00","python","120"
"2008-08-01 00:00:00","ruby","70"
"2008-09-01 00:00:00","assembly","28"
"2008-09-01 00:00:00","c","320"
"2008-09-01 00:00:00","c#","1640"
"2008-09-01 00:00:00","c++","754"
"2008-09-01 00:00:00","delphi","104"
"2008-09-01 00:00:00","java","1129"
"2008-09-01 00:00:00","javascript","634"
"2008-09-01 00:00:00","perl","130"
"2008-09-01 00:00:00","php","475"
"2008-09-01 00:00:00","python","538"
"2008-09-01 00:00:00","r","6"
"2008-09-01 00:00:00","ruby","286"
"2008-10-01 00:00:00","assembly","16"
"2008-10-01 00:00:00","c","303"
"2008-10-01 00:00:00","c#","1988"
"2008-10-01 00:00:00","c++","807"
"2008-10-01 00:00:00","delphi","112"
"2008-10-01 00:00:00","java","1149"
"2008-10-01 00:00:00","javascript","722"
"2008-10-01 00:00:00","perl","128"
"2008-10-01 00:00:00","php","610"
"2008-10-01 00:00:00","python","506"
"2008-10-01 00:00:00","ruby","247"
"2008-11-01 00:00:00","assembly","16"
"2008-11-01 00:00:00","c","258"
"2008-11-01 00:00:00","c#","1731"
"2008-11-01 00:00:00","c++","734"
"2008-11-01 00:00:00","delphi","141"
"2008-11-01 00:00:00","java","955"
"2008-11-01 00:00:00","javascript","580"
"2008-11-01 00:00:00","perl","97"
"2008-11-01 00:00:00","php","499"
"2008-11-01 00:00:00","python","449"
"2008-11-01 00:00:00","r","1"
"2008-11-01 00:00:00","ruby","157"
"2008-12-01 00:00:00","assembly","17"
"2008-12-01 00:00:00","c","188"
"2008-12-01 00:00:00","c#","1594"
"2008-12-01 00:00:00","c++","631"
"2008-12-01 00:00:00","delphi","134"
"2008-12-01 00:00:00","java","826"
"2008-12-01 00:00:00","javascript","625"
"2008-12-01 00:00:00","perl","133"
"2008-12-01 00:00:00","php","477"
"2008-12-01 00:00:00","python","437"
"2008-12-01 00:00:00","r","1"
"2008-12-01 00:00:00","ruby","159"
"2009-01-01 00:00:00","assembly","22"
"2009-01-01 00:00:00","c","318"
"2009-01-01 00:00:00","c#","2375"
"2009-01-01 00:00:00","c++","848"
"2009-01-01 00:00:00","delphi","164"
"2009-01-01 00:00:00","java","1148"
"2009-01-01 00:00:00","javascript","790"
"2009-01-01 00:00:00","perl","146"
"2009-01-01 00:00:00","php","630"
"2009-01-01 00:00:00","python","631"
"2009-01-01 00:00:00","r","8"
"2009-01-01 00:00:00","ruby","205"
"2009-01-01 00:00:00","swift","1"
"2009-02-01 00:00:00","assembly","36"
"2009-02-01 00:00:00","c","331"
"2009-02-01 00:00:00","c#","2599"
"2009-02-01 00:00:00","c++","842"
"2009-02-01 00:00:00","delphi","167"
"2009-02-01 00:00:00","java","1203"
"2009-02-01 00:00:00","javascript","945"
"2009-02-01 00:00:00","perl","163"
"2009-02-01 00:00:00","php","758"
"2009-02-01 00:00:00","python","630"
"2009-02-01 00:00:00","r","8"
"2009-02-01 00:00:00","ruby","286"
"2009-02-01 00:00:00","swift","1"
"2009-03-01 00:00:00","assembly","24"
"2009-03-01 00:00:00","c","430"
"2009-03-01 00:00:00","c#","3156"
"2009-03-01 00:00:00","c++","1047"
"2009-03-01 00:00:00","delphi","161"
"2009-03-01 00:00:00","java","1430"
"2009-03-01 00:00:00","javascript","1007"
"2009-03-01 00:00:00","perl","137"
"2009-03-01 00:00:00","php","895"
"2009-03-01 00:00:00","python","764"
"2009-03-01 00:00:00","r","4"
"2009-03-01 00:00:00","ruby","329"
"2009-03-01 00:00:00","swift","1"
"2009-04-01 00:00:00","assembly","50"
"2009-04-01 00:00:00","c","456"
"2009-04-01 00:00:00","c#","3303"
"2009-04-01 00:00:00","c++","1017"
"2009-04-01 00:00:00","delphi","185"
"2009-04-01 00:00:00","java","1529"
"2009-04-01 00:00:00","javascript","1047"
"2009-04-01 00:00:00","perl","161"
"2009-04-01 00:00:00","php","959"
"2009-04-01 00:00:00","python","770"
"2009-04-01 00:00:00","r","12"
"2009-04-01 00:00:00","ruby","358"
"2009-05-01 00:00:00","assembly","46"
"2009-05-01 00:00:00","c","481"
"2009-05-01 00:00:00","c#","3549"
"2009-05-01 00:00:00","c++","1214"
"2009-05-01 00:00:00","delphi","202"
"2009-05-01 00:00:00","java","1813"
"2009-05-01 00:00:00","javascript","1429"
"2009-05-01 00:00:00","perl","196"
"2009-05-01 00:00:00","php","1175"
"2009-05-01 00:00:00","python","995"
"2009-05-01 00:00:00","r","2"
"2009-05-01 00:00:00","ruby","401"
"2009-05-01 00:00:00","swift","2"
"2009-06-01 00:00:00","assembly","48"
"2009-06-01 00:00:00","c","498"
"2009-06-01 00:00:00","c#","3880"
"2009-06-01 00:00:00","c++","1250"
"2009-06-01 00:00:00","delphi","221"
"2009-06-01 00:00:00","java","2110"
"2009-06-01 00:00:00","javascript","1552"
"2009-06-01 00:00:00","perl","246"
"2009-06-01 00:00:00","php","1574"
"2009-06-01 00:00:00","python","1044"
"2009-06-01 00:00:00","r","5"
"2009-06-01 00:00:00","ruby","431"
"2009-06-01 00:00:00","swift","1"
"2009-07-01 00:00:00","assembly","32"
"2009-07-01 00:00:00","c","538"
"2009-07-01 00:00:00","c#","4402"
"2009-07-01 00:00:00","c++","1465"
"2009-07-01 00:00:00","delphi","269"
"2009-07-01 00:00:00","java","2254"
"2009-07-01 00:00:00","javascript","1753"
"2009-07-01 00:00:00","perl","256"
"2009-07-01 00:00:00","php","2021"
"2009-07-01 00:00:00","python","1157"
"2009-07-01 00:00:00","r","50"
"2009-07-01 00:00:00","ruby","499"
"2009-08-01 00:00:00","assembly","48"
"2009-08-01 00:00:00","c","529"
"2009-08-01 00:00:00","c#","4445"
"2009-08-01 00:00:00","c++","1399"
"2009-08-01 00:00:00","delphi","246"
"2009-08-01 00:00:00","java","2186"
"2009-08-01 00:00:00","javascript","1856"
"2009-08-01 00:00:00","perl","248"
"2009-08-01 00:00:00","php","2176"
"2009-08-01 00:00:00","python","1131"
"2009-08-01 00:00:00","r","47"
"2009-08-01 00:00:00","ruby","484"
"2009-08-01 00:00:00","swift","3"
"2009-09-01 00:00:00","assembly","62"
"2009-09-01 00:00:00","c","573"
"2009-09-01 00:00:00","c#","4346"
"2009-09-01 00:00:00","c++","1463"
"2009-09-01 00:00:00","delphi","251"
"2009-09-01 00:00:00","java","2259"
"2009-09-01 00:00:00","javascript","1756"
"2009-09-01 00:00:00","perl","249"
"2009-09-01 00:00:00","php","2254"
"2009-09-01 00:00:00","python","1169"
"2009-09-01 00:00:00","r","138"
"2009-09-01 00:00:00","ruby","477"
"2009-09-01 00:00:00","swift","3"
"2009-10-01 00:00:00","assembly","73"
"2009-10-01 00:00:00","c","775"
"2009-10-01 00:00:00","c#","4723"
"2009-10-01 00:00:00","c++","1685"
"2009-10-01 00:00:00","delphi","254"
"2009-10-01 00:00:00","java","2498"
"2009-10-01 00:00:00","javascript","2046"
"2009-10-01 00:00:00","perl","282"
"2009-10-01 00:00:00","php","2351"
"2009-10-01 00:00:00","python","1417"
"2009-10-01 00:00:00","r","73"
"2009-10-01 00:00:00","ruby","493"
"2009-10-01 00:00:00","swift","1"
"2009-11-01 00:00:00","assembly","82"
"2009-11-01 00:00:00","c","956"
"2009-11-01 00:00:00","c#","4675"
"2009-11-01 00:00:00","c++","1746"
"2009-11-01 00:00:00","delphi","274"
"2009-11-01 00:00:00","go","65"
"2009-11-01 00:00:00","java","2759"
"2009-11-01 00:00:00","javascript","2234"
"2009-11-01 00:00:00","perl","322"
"2009-11-01 00:00:00","php","2676"
"2009-11-01 00:00:00","python","1552"
"2009-11-01 00:00:00","r","94"
"2009-11-01 00:00:00","ruby","654"
"2009-11-01 00:00:00","swift","3"
"2009-12-01 00:00:00","assembly","62"
"2009-12-01 00:00:00","c","848"
"2009-12-01 00:00:00","c#","4482"
"2009-12-01 00:00:00","c++","1652"
"2009-12-01 00:00:00","delphi","282"
"2009-12-01 00:00:00","go","11"
"2009-12-01 00:00:00","java","2684"
"2009-12-01 00:00:00","javascript","2305"
"2009-12-01 00:00:00","perl","261"
"2009-12-01 00:00:00","php","2817"
"2009-12-01 00:00:00","python","1585"
"2009-12-01 00:00:00","r","80"
"2009-12-01 00:00:00","ruby","572"
"2009-12-01 00:00:00","swift","1"
"2010-01-01 00:00:00","assembly","100"
"2010-01-01 00:00:00","c","977"
"2010-01-01 00:00:00","c#","5111"
"2010-01-01 00:00:00","c++","1994"
"2010-01-01 00:00:00","delphi","303"
"2010-01-01 00:00:00","go","15"
"2010-01-01 00:00:00","java","3722"
"2010-01-01 00:00:00","javascript","2626"
"2010-01-01 00:00:00","perl","301"
"2010-01-01 00:00:00","php","3426"
"2010-01-01 00:00:00","python","1946"
"2010-01-01 00:00:00","r","94"
"2010-01-01 00:00:00","ruby","684"
"2010-02-01 00:00:00","assembly","69"
"2010-02-01 00:00:00","c","1033"
"2010-02-01 00:00:00","c#","5094"
"2010-02-01 00:00:00","c++","2275"
"2010-02-01 00:00:00","delphi","283"
"2010-02-01 00:00:00","go","7"
"2010-02-01 00:00:00","java","3576"
"2010-02-01 00:00:00","javascript","2638"
"2010-02-01 00:00:00","perl","347"
"2010-02-01 00:00:00","php","3156"
"2010-02-01 00:00:00","python","1861"
"2010-02-01 00:00:00","r","122"
"2010-02-01 00:00:00","ruby","688"
"2010-02-01 00:00:00","swift","2"
"2010-03-01 00:00:00","assembly","123"
"2010-03-01 00:00:00","c","1114"
"2010-03-01 00:00:00","c#","6027"
"2010-03-01 00:00:00","c++","2433"
"2010-03-01 00:00:00","delphi","317"
"2010-03-01 00:00:00","go","8"
"2010-03-01 00:00:00","java","4438"
"2010-03-01 00:00:00","javascript","2989"
"2010-03-01 00:00:00","perl","390"
"2010-03-01 00:00:00","php","3735"
"2010-03-01 00:00:00","python","2070"
"2010-03-01 00:00:00","r","139"
"2010-03-01 00:00:00","ruby","693"
"2010-03-01 00:00:00","swift","1"
"2010-04-01 00:00:00","assembly","124"
"2010-04-01 00:00:00","c","1181"
"2010-04-01 00:00:00","c#","5773"
"2010-04-01 00:00:00","c++","2488"
"2010-04-01 00:00:00","delphi","270"
"2010-04-01 00:00:00","go","10"
"2010-04-01 00:00:00","java","3876"
"2010-04-01 00:00:00","javascript","3012"
"2010-04-01 00:00:00","perl","364"
"2010-04-01 00:00:00","php","3635"
"2010-04-01 00:00:00","python","1806"
"2010-04-01 00:00:00","r","160"
"2010-04-01 00:00:00","ruby","752"
"2010-04-01 00:00:00","swift","2"
"2010-05-01 00:00:00","assembly","108"
"2010-05-01 00:00:00","c","1178"
"2010-05-01 00:00:00","c#","5926"
"2010-05-01 00:00:00","c++","2415"
"2010-05-01 00:00:00","delphi","280"
"2010-05-01 00:00:00","go","17"
"2010-05-01 00:00:00","java","4166"
"2010-05-01 00:00:00","javascript","3231"
"2010-05-01 00:00:00","perl","286"
"2010-05-01 00:00:00","php","3977"
"2010-05-01 00:00:00","python","2008"
"2010-05-01 00:00:00","r","139"
"2010-05-01 00:00:00","ruby","775"
"2010-05-01 00:00:00","swift","1"
"2010-06-01 00:00:00","assembly","90"
"2010-06-01 00:00:00","c","1153"
"2010-06-01 00:00:00","c#","6140"
"2010-06-01 00:00:00","c++","2824"
"2010-06-01 00:00:00","delphi","329"
"2010-06-01 00:00:00","go","15"
"2010-06-01 00:00:00","java","4275"
"2010-06-01 00:00:00","javascript","3477"
"2010-06-01 00:00:00","perl","409"
"2010-06-01 00:00:00","php","4076"
"2010-06-01 00:00:00","python","2201"
"2010-06-01 00:00:00","r","176"
"2010-06-01 00:00:00","ruby","850"
"2010-06-01 00:00:00","swift","3"
"2010-07-01 00:00:00","assembly","97"
"2010-07-01 00:00:00","c","1284"
"2010-07-01 00:00:00","c#","6675"
"2010-07-01 00:00:00","c++","2675"
"2010-07-01 00:00:00","delphi","334"
"2010-07-01 00:00:00","go","8"
"2010-07-01 00:00:00","java","4508"
"2010-07-01 00:00:00","javascript","3878"
"2010-07-01 00:00:00","perl","435"
"2010-07-01 00:00:00","php","4589"
"2010-07-01 00:00:00","python","2584"
"2010-07-01 00:00:00","r","233"
"2010-07-01 00:00:00","ruby","910"
"2010-07-01 00:00:00","swift","1"
"2010-08-01 00:00:00","assembly","86"
"2010-08-01 00:00:00","c","1364"
"2010-08-01 00:00:00","c#","6957"
"2010-08-01 00:00:00","c++","2628"
"2010-08-01 00:00:00","delphi","353"
"2010-08-01 00:00:00","go","13"
"2010-08-01 00:00:00","java","4699"
"2010-08-01 00:00:00","javascript","4000"
"2010-08-01 00:00:00","perl","547"
"2010-08-01 00:00:00","php","5116"
"2010-08-01 00:00:00","python","2490"
"2010-08-01 00:00:00","r","283"
"2010-08-01 00:00:00","ruby","994"
"2010-08-01 00:00:00","swift","2"
"2010-09-01 00:00:00","assembly","117"
"2010-09-01 00:00:00","c","1371"
"2010-09-01 00:00:00","c#","6407"
"2010-09-01 00:00:00","c++","2726"
"2010-09-01 00:00:00","delphi","319"
"2010-09-01 00:00:00","go","9"
"2010-09-01 00:00:00","java","4708"
"2010-09-01 00:00:00","javascript","4001"
"2010-09-01 00:00:00","perl","460"
"2010-09-01 00:00:00","php","4686"
"2010-09-01 00:00:00","python","2249"
"2010-09-01 00:00:00","r","236"
"2010-09-01 00:00:00","ruby","935"
"2010-09-01 00:00:00","swift","2"
"2010-10-01 00:00:00","assembly","123"
"2010-10-01 00:00:00","c","1439"
"2010-10-01 00:00:00","c#","6728"
"2010-10-01 00:00:00","c++","2929"
"2010-10-01 00:00:00","delphi","361"
"2010-10-01 00:00:00","go","13"
"2010-10-01 00:00:00","java","5016"
"2010-10-01 00:00:00","javascript","4106"
"2010-10-01 00:00:00","perl","498"
"2010-10-01 00:00:00","php","4498"
"2010-10-01 00:00:00","python","2671"
"2010-10-01 00:00:00","r","214"
"2010-10-01 00:00:00","ruby","925"
"2010-10-01 00:00:00","swift","1"
"2010-11-01 00:00:00","assembly","164"
"2010-11-01 00:00:00","c","1674"
"2010-11-01 00:00:00","c#","7309"
"2010-11-01 00:00:00","c++","3366"
"2010-11-01 00:00:00","delphi","390"
"2010-11-01 00:00:00","go","16"
"2010-11-01 00:00:00","java","5588"
"2010-11-01 00:00:00","javascript","4542"
"2010-11-01 00:00:00","perl","464"
"2010-11-01 00:00:00","php","5099"
"2010-11-01 00:00:00","python","2604"
"2010-11-01 00:00:00","r","241"
"2010-11-01 00:00:00","ruby","927"
"2010-11-01 00:00:00","swift","1"
"2010-12-01 00:00:00","assembly","125"
"2010-12-01 00:00:00","c","1468"
"2010-12-01 00:00:00","c#","7098"
"2010-12-01 00:00:00","c++","3129"
"2010-12-01 00:00:00","delphi","321"
"2010-12-01 00:00:00","go","18"
